Parcel,2017Address,CITY,STATE,ZIP,2017TotalSubUnits,2017Source,2017PropertyName,NPA,HousingUnits,LAT,LONG,,,,,,
12906102,1518 BRIAR CREEK ROAD,Charlotte,NC,28205,6,HUD,CHC OF METROLINA #4,2,1079,35.21480956,-80.78896035,,,,,,
12908409,3115 CREIGHTON DRIVE,Charlotte,NC,28205,24,HUD,"HAVENS, THE",2,1079,35.21107873,-80.79148352,,,,,,
12910178,1032 COLISEUM DRIVE,Charlotte,NC,28205,50,CHA-HDP,CLAREMONT,2,1079,35.20534596,-80.79131058,,,,,,
12105309,1814 EUCLID AVENUE,Charlotte,NC,,90,HTF,Dove's Nest,3,5283,35.20971131,-80.85610173,,,,,,
12302102,1425 CLEVELAND AVENUE,CHARLOTTE,NC,28203,,CHA-HDP,STRAWN COTTAGES,3,5283,35.21399223,-80.85256266,,,,,,
12302104,1225 S. CALDWELL STREET,Charlotte,NC,28203,170,CHA-HDP,STRAWN TOWER,3,5283,35.21505039,-80.85237576,,,,,,
12520152,1000 BAXTER STREET,Charlotte,NC,28204,161,CHA-HDP,CHARLOTTETOWN TERRACE,3,5283,35.21285371,-80.83983225,,,,,,
9708610,6427 THE PLAZA,Charlotte,NC,28215,120,HUD,FAIRMARKET PLAZA APARTMENTS,17,1253,35.25123213,-80.74898303,,,,,,
9709423,5914 FAIRMARKET PLACE,Charlotte,NC,28215,60,LIHTC,FAIRMARKET SQUARE,17,1253,35.25064994,-80.75123518,,,,,,
8503103,125 W CRAIGHEAD ROAD,Charlotte,NC,,32,HTF,Rosedale II,21,1221,35.25563853,-80.80338266,,,,,,
8701106,3925 TIFFANY ROSE PLACE,Charlotte,NC,28206,106,CMHP,THE VILLAGE OF ROSEDALE APTS AT SUGAR CREEK,21,1221,35.25898737,-80.80105791,,,,,,
8702230,4218 SOFLEY ROAD,CHARLOTTE,NC,28206,9,HUD,CAC OF METROLINA #4,21,1221,35.2646767,-80.79582939,,,,,,
18926219,6130 PINEBURR ROAD,Charlotte,NC,28211,113,HTF,McAlpine Terrace Apt,23,549,35.153732,-80.756171,,,,,,
18924304,7000 FERNWOOD DRIVE,Charlotte,NC,28211,240,CHA-HDP,STONEHAVEN EAST,23,549,35.15557585,-80.75374019,,,,,,
18926220,6008 PINEBURR ROAD,Charlotte,NC,28211,50,CHA-HDP,GLEN COVE,23,549,35.15547028,-80.75646839,,,,,,
14505113,3400 GRIFFITH STREET,Charlotte,NC,28203,392,CHA-HDP,SOUTHSIDE HOMES,30,1096,35.2032962,-80.87522112,,,,,,
8109706,825 E. 16TH STREET,Charlotte,NC,28202,60,CHA-HDP,MCADEN PARK,37,776,35.2305962,-80.8201808,,,,,,
8113306,1219 HARRILL STREET,Charlotte,NC,,1,CMHP-SS,Belmont Springs - 6 units,37,776,35.22928258,-80.81981652,,,,,,
8113306,1221 HARRILL STREET,Charlotte,NC,,1,CMHP-SS,Belmont Springs - 6 units,37,776,35.2293698,-80.81973365,,,,,,
8113306,1222 HARRILL STREET,Charlotte,NC,,1,CMHP-SS,Belmont Springs - 6 units,37,776,35.22915372,-80.81988931,,,,,,
8113306,1223 HARRILL STREET,Charlotte,NC,,1,CMHP-SS,Belmont Springs - 6 units,37,776,35.22921914,-80.81985356,,,,,,
8113416,1224 HARRILL STREET,Charlotte,NC,,1,CMHP-SS,Belmont Springs - 6 units,37,776,35.22906915,-80.81938975,,,,,,
8113417,1220 HARRILL STREET,Charlotte,NC,,1,CMHP-SS,Belmont Springs - 6 units,37,776,35.22898222,-80.81950503,,,,,,
8116206,1300 PAMLICO STREET,Charlotte,NC,28205,32,LIHTC,SPARROW RUN APTS,37,776,35.2271087,-80.81598341,,,,,,
20935C99,3145 HEATHSTEAD PLACE,Charlotte,NC,28210,5,HUD,CAC OF METROLINA #6,42,1328,35.1306299,-80.83161116,,,,,,
20941C96,3137 HEATHSTEAD PLACE,Charlotte,NC,28210,8,HUD,CAC OF METROLINA #7,42,1328,35.13022557,-80.83217745,,,,,,
20941C96,3139 HEATHSTEAD PLACE,Charlotte,NC,28210,6,HUD,CAC OF METROLINA #8,42,1328,35.1303,-80.8321624,,,,,,
5136178,1704 HARRIS HOUSTON ROAD,Charlotte,NC,,90,HTF,University Square,46,956,35.31534274,-80.70009718,,,,,,
3702310,1123 RAVENDALE DRIVE,CHARLOTTE,NC,28216,6,HUD,AS MECKLENBURG CO. G.H. #3,49,974,35.30822496,-80.89294373,,,,,,
10316309,5500 FARM POND LANE,Charlotte,NC,28212,120,HUD,FARM LANE APTS,50,1054,35.20584611,-80.7391593,,,,,,
10330140,6101 BENT TREE COURT,CHARLOTTE,NC,28212,3,HUD,RSS INDEPENDENT LIVING APTS. #1,50,1054,35.20905401,-80.73642186,,,,,,
16305131,6011 FLORENCE AVENUE,Charlotte,NC,28212,32,CHA-HDP,MEADOW OAKS,52,596,35.18349142,-80.76562477,,,,,,
13325117,7100 SNOW LANE,CHARLOTTE,NC,28227,50,HUD,HERITAGE PARK,58,485,35.19783497,-80.72383573,,,,,,
4929511,10001 MARGIE ANN DRIVE,Charlotte,NC,28215,30,CHA-HDP,ROBINSDALE,64,2563,35.30204008,-80.726469,,,,,,
16923109,7224 OLD PINEVILLE ROAD,Charlotte,NC,,100,HTF,South Oak Crossing,71,1425,35.14161515,-80.87899161,,,,,,
16924103,8825 MOUNT CARMEL LANE,Charlotte,NC,28217,50,LIHTC,ARROWOOD VILLAS,79,679,35.13697702,-80.88828221,,,,,,
20135176,11432 S TRYON STREET,Charlotte,NC,,13,HTF,Mother Teresa Villa,81,466,35.11386106,-80.9674982,,,,,,
6906926,1035 MAYFIELD TERRACE DRIVE,Charlotte,NC,,81,HTF,Nia Point,85,767,35.25439856,-80.86197357,,,,,,
12905203,2700 OAK VALLEY LANE,CHARLOTTE,NC,28205,50,CHA-HDP,OAK VALLEY,86,1116,35.21523488,-80.79586454,,,,,,
12906425,3015 PEACH BOTTOM LANE,Charlotte,NC,28205,24,LIHTC,TRINITY COMMUNITY APTS,86,1116,35.21631357,-80.79132071,,,,,,
9513212,3615 CENTRAL AVENUE,Charlotte,NC,28202,34,LIHTC,ST ANDREW'S HOMES,87,682,35.21637141,-80.78400228,,,,,,
6511402,305 JONES STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase II - 6 units",88,474,35.25401564,-80.87756188,,,,,,
6511402,305 JONES STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase II - 6 units",88,474,35.25401564,-80.87756188,,,,,,
6511402,305 JONES STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase II - 6 units",88,474,35.25401564,-80.87756188,,,,,,
6511402,309 JONES STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase II - 6 units",88,474,35.25411956,-80.877772,,,,,,
6511402,309 JONES STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase II - 6 units",88,474,35.25411956,-80.877772,,,,,,
6511402,309 JONES STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase II - 6 units",88,474,35.25411956,-80.877772,,,,,,
6513806,3307 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25518826,-80.87885535,,,,,,
6513806,3307 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25518826,-80.87885535,,,,,,
6513806,3307 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25518826,-80.87885535,,,,,,
6513806,3311 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25538191,-80.87895028,,,,,,
6513806,3311 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25538191,-80.87895028,,,,,,
6513806,3311 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25538191,-80.87895028,,,,,,
6513807,3317 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25551724,-80.87908406,,,,,,
6513807,3317 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25551724,-80.87908406,,,,,,
6513807,3317 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25551724,-80.87908406,,,,,,
6513807,3321 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25561856,-80.87928407,,,,,,
6513807,3321 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25561856,-80.87928407,,,,,,
6513807,3321 GRANT STREET,Charlotte,NC,,1,CMHP-SS,"Grant Station Apartments, Phase I - 12 units",88,474,35.25561856,-80.87928407,,,,,,
20309166,10124 SHAFFER VALLEY WAY,Charlotte,NC,28273,86,LIHTC,WESTINGHOUSE SENIOR HOUSING,92,1344,35.13035905,-80.93879591,,,,,,
17306103,6513 LEAFCREST LANE,CHARLOTTE,NC,28210,48,CHA-HDP,LEAFCREST,105,868,35.14531509,-80.86117674,,,,,,
2327156,10412 ROZZELLES FERRY ROAD,Charlotte,NC,,100,HTF,Rocky Branch II/Rivermere,109,974,35.32344605,-80.95390334,,,,,,
2327158,3404 DUNN COMMONS PKWY,Charlotte,NC,28216,192,CHA-HDP,RIVERMERE APARTMENTS,109,974,35.32496957,-80.95042906,,,,,,
11504201,1621 BROOKSVALE STREET,Charlotte,NC,,150,HTF,Boulevard Phase III,114,441,35.20810934,-80.92189168,,,,,,
20523101,516 ARROWHAWK DRIVE,Charlotte,NC,,49,CMHP,Shelton Knoll,116,1322,35.13810224,-80.88292195,,,,,,
20523114,7609 KINGS RIDGE DRIVE,CHARLOTTE,NC,28217,192,CHA-HDP,SOUTH OAK CROSSING,116,1322,35.14090033,-80.88112974,,,,,,
14512318,2305 FARMER STREET,Charlotte,NC,28208,308,CHA-HDP,ARBOR GLEN,120,584,35.20919438,-80.89492861,,,,,,
16703409,304 GREEN NEEDLES COURT,Charlotte,NC,28217,49,CHA-HDP,CEDAR KNOLL,121,825,35.17006108,-80.89417273,,,,,,
3915104,1835 GRIERS GROVE ROAD,Charlotte,NC,28216,99,HUD,NORTHCROSS TOWNHOMES,123,1088,35.28419513,-80.86069272,,,,,,
7706203,1445 SAMUEL ST,Charlotte,NC,,130,CMHP,Stevenson Apartments,126,469,35.26019112,-80.83743088,,,,,,
7510544,1214 KOHLER AVENUE,Charlotte,NC,,48,CMHP,McNeel,126,343,35.25107372,-80.83701071,,,,,,
7511309,2425 STATESVILLE AVENUE,Charlotte,NC,28206,96,LIHTC,THE ALEXANDER,126,343,35.25431961,-80.83626313,,,,,,
10307306,4400 DALMOOR DRIVE,CHARLOTTE,NC,28212,6,HUD,ARC/HDS MECKLENBURG COUNTY GROUP HOME,127,989,35.21792093,-80.74909158,,,,,,
9905231,3630 FRONTENAC AVENUE,CHARLOTTE,NC,28215,10,HUD,CAC OF METROLINA #2,128,1018,35.23737073,-80.77408823,,,,,,
6124114,2908 TURNING OAK DRIVE,Charlotte,NC,28208,85,LIHTC,WILLOW OAK RUN,140,1073,35.24433559,-80.92485046,,,,,,
20702108,8936 SHARONBROOK DRIVE,CHARLOTTE,NC,28210,10,HUD,CAC OF METROLINA #1,142,1299,35.11389752,-80.87647008,,,,,,
10921112,1211 ROBINHOOD CIR,Charlotte,NC,28227,6,HUD,CHC OF METROLINA #2,147,1029,35.19825717,-80.7105535,,,,,,
10943102,7207 LAWYERS ROAD,Charlotte,NC,,78,HTF,Honeycreek,147,1029,35.19998801,-80.71949879,,,,,,
7908613,2600 N. PINE STREET,Charlotte,NC,28206,136,CHA-HDP,DILLEHAY COURTS,157,282,35.24984862,-80.81914719,,,,,,
14522112,2909 CROSS ROADS PLACE,Charlotte,NC,,80,CMHP,Tyvola Crossing,159,418,35.20771274,-80.90666714,,,,,,
14522206,2918 RICHARD STREET,Charlotte,NC,,20,HTF,Tyvola Crossing,159,418,35.20656349,-80.90722286,,,,,,
4505510,4826 WOODSTONE DRIVE,CHARLOTTE,NC,28269,50,HUD,WOODSTONE APTS,160,1106,35.28086418,-80.81087551,,,,,,
4519107,4912 DAYBREAK DRIVE,CHARLOTTE,NC,28269,60,HUD,MAYFIELD MEMORIAL APARTMENTS,160,1106,35.28261554,-80.81082064,,,,,,
12522428,233 E. 1st STREET,Charlotte,NC,28204,1,CHA-HDP,TALL OAKS II,163,522,35.21229577,-80.83250601,,,,,,
12523406,506 AVANT STREET,Charlotte,NC,28204,42,CHA-HDP,CHERRY GARDENS,163,522,35.20815114,-80.83153591,,,,,,
12523423,407 BALDWIN AVENUE,CHARLOTTE,NC,28204,81,CHA-HDP,TALL OAKS I,163,522,35.2097052,-80.83162777,,,,,,
13103216,4442 CENTRAL AVENUE,Charlotte,NC,,28,HTF,Centre Terrace,164,1763,35.2129376,-80.76918962,,,,,,
9928160,4525 GAYNELLE DRIVE,CHARLOTTE,NC,28215,6,HUD,RSS GAYNELLE DR GROUP HOME,166,538,35.22600891,-80.73513894,,,,,,
09920C98,4600 SHARON CHASE DRIVE,CHARLOTTE,NC,28215,5,HUD,RSSI SHARON CHASE CONDOS,168,633,35.23025912,-80.7447681,,,,,,
21309205,215 OLD BELL ROAD,Charlotte,NC,28270,6,HUD,RSS OLD BELL ROAD GROUP HOME,175,687,35.13482485,-80.76862551,,,,,,
20925107,3711 CARMEL FOREST DRIVE,Charlotte,NC,28226,6,HUD,CHC OF METROLINA #3,177,795,35.09784702,-80.84226092,,,,,,
7844420,1407 SPRING STREET,CHARLOTTE,NC,28206,38,HUD,GREENHAVEN TOWNHOUSES,182,268,35.24510109,-80.83978693,,,,,,
16510301,4016 PINEY GROVE ROAD,CHARLOTTE,NC,28212,6,HUD,PINEY GROVE GROUP HOME,186,831,35.18313356,-80.72896743,,,,,,
2919116,3515 LAUREL MILL DRIVE,Charlotte,NC,28262,168,CHA-HDP,MILL POND,195,1207,35.37280615,-80.73559791,,,,,,
10314111,5117 HICKORY VALLEY COURT,Charlotte,NC,28212,49,CHA-HDP,VALLEYVIEW,197,993,35.22196134,-80.74371295,,,,,,
10314112,5028 HICKORY GROVE ROAD,Charlotte,NC,28215,30,HUD,HICKORY PLACE APARTMENTS,197,993,35.22358428,-80.74436725,,,,,,
18736102,5805 OLDE PROVIDENCE ROAD,Charlotte,NC,28226,49,CHA-HDP,GLADEDALE,198,819,35.13447797,-80.78343775,,,,,,
8108612,1035 E 10TH STREET,Charlotte,NC,,204,HTF,Seigle Point/The Crossing,200,425,35.22416309,-80.8270901,,,,,,
8108612,707 SEIGLE AVENUE,Charlotte,NC,28204,190,CHA-HDP,THE VISTAS @ 707,200,425,35.22392659,-80.82673649,,,,,,
18313369,4845 ASHLEY PARK LANE,CHARLOTTE,NC,28210,176,CHA-HDP,ASHLEY SQUARE AT SOUTHPARK,210,1508,35.14641415,-80.82951661,,,,,,
18313372,6770 BROAD STREET,Charlotte,NC,28210,50,CHA-HDP,SPRINGCROFT @ ASHLEY PARK,210,1508,35.14587484,-80.82901602,,,,,,
2733103,3705 PROSPERITY CHURCH ROAD,Charlotte,NC,28269,168,LIHTC,PROSPERITY CREEK SENIOR APARTMENTS,218,1073,35.34818058,-80.77602253,,,,,,
4911106,628 FLOWE DRIVE,CHARLOTTE,NC,28213,5,HUD,SMC GROUP HOME II,234,919,35.27969976,-80.75920285,,,,,,
4544111,4825 SPRING TRACE DRIVE,Charlotte,NC,28269,76,LIHTC,CHARLOTTE SPRING,237,1064,35.31236496,-80.83592032,,,,,,
16104201,4319 MANTLE COURT,CHARLOTTE,NC,28205,6,HUD,AS MECKLENBURG CO. G.H. #2,240,888,35.19601605,-80.78182522,,,,,,
19105101,7120 WALLACE ROAD,Charlotte,NC,28212,48,CHA-HDP,WALLACE WOODS,245,646,35.17547245,-80.75050339,,,,,,
5910110,5215 PINEBROOK DRIVE,CHARLOTTE,NC,28208,6,HUD,AS MECKLENBURG CO. G.H. #1,258,1074,35.25728617,-80.92235565,,,,,,
4734202,6523 WHITE PINE LANE,Charlotte,NC,,98,HTF,Rodden Square,259,981,35.30470088,-80.79724575,,,,,,
4320204,6604 ROCKWELL CH.ROAD,Charlotte,NC,28269,22,HUD,TILLINGHAST PLACE,283,1054,35.30632693,-80.79748617,,,,,,
11702204,2741 DOCTOR CARVER ROAD,Charlotte,NC,28208,47,HUD,BARRINGER GARDENS,294,476,35.21493909,-80.88924222,,,,,,
7509630,1816 GENESIS PARK PLACE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,295,515,35.24936045,-80.84413453,,,,,,
7509666,1923 RUSH WIND DRIVE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,295,515,35.25016658,-80.84335211,,,,,,
7509666,1923 RUSH WIND DRIVE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,295,515,35.25016658,-80.84335211,,,,,,
7510699,1110 RISING OAK DRIVE,Charlotte,NC,28206,83,HUD,ANITA STROUD SENIOR COMPLEX,295,515,35.24653003,-80.83780265,,,,,,
22119114,8415 HOLLOW GLEN PLACE,Charlotte,NC,28226,40,HUD,MONTCLAIR APARTMENTS,298,798,35.08898166,-80.8626634,,,,,,
20924114,6508 WALSH BOULEVARD,Charlotte,NC,28226,55,LIHTC,MCMULLEN WOODS,303,898,35.09134243,-80.85247584,,,,,,
11504205,3610 NOBLES AVE,Charlotte,NC,28208,224,CHA-HDP,RESIDENCES AT RENAISSANCE,306,909,35.21014652,-80.92097872,,,,,,
11504207,3240 NEW RENAISSANCE WAY,Charlotte,NC,28208,110,LIHTC,BOULEVARD SENIORS,306,909,35.20844142,-80.91984357,,,,,,
