Parcel,2017Address,CITY,STATE,ZIP,2017TotalSubUnits,2017Source,2017PropertyName,NPA,HousingUnits,LAT,LONG,,,,,,
11504501,5712 LEAKE AVENUE,Charlotte,NC,28208,242,LIHTC,LITTLE ROCK APTS,306,909,35.20896938,-80.91757236,,,,,,
10703105,4005 SUNRIDGE LANE,Charlotte,NC,28215,44,CHA-HDP,SUNRIDGE,312,622,35.23801381,-80.73811456,,,,,,
9514139,2603 ARNOLD DRIVE,CHARLOTTE,NC,28205,48,HUD,HILLCREST APARTMENTS,314,931,35.22334645,-80.78142846,,,,,,
11902117,1505 PARKER DRIVE,Charlotte,NC,28208,99,LIHTC,PARKER HEIGHTS,317,308,35.22010839,-80.88272124,,,,,,
21322171,8848 NOLLEY COURT,Charlotte,NC,28270,78,LIHTC,SARDIS TRACE,318,771,35.13687199,-80.7402507,,,,,,
20112307,2352 TOWNSHIP ROAD,Charlotte,NC,28273,52,LIHTC,SUMMERFIELD APTS,319,1080,35.13518344,-80.94299542,,,,,,
10820113,8225 PENCE ROAD,Charlotte,NC,,85,CMHP,Pleasant View,323,890,35.21767671,-80.69580511,,,,,,
10820113,8225 PENCE ROAD,Charlotte,NC,,40,HTF,Pleasant View,323,890,35.21767671,-80.69580511,,,,,,
10730102,6509 W.T. HARRIS BLVD,Charlotte,NC,28215,36,CHA-HDP,GROVE PLACE,325,1128,35.23126326,-80.72822747,,,,,,
7802101,421 N POPLAR STREET,CHARLOTTE,NC,28202,128,HUD,BOOTH GARDEN APTS.,340,3883,35.23216648,-80.84189634,,,,,,
7803201,201 W. 10TH STREET,Charlotte,NC,28202,176,CHA-HDP,EDWIN TOWERS,340,3883,35.23263122,-80.83880532,,,,,,
7814113,306 N. CLARKSON STREET,Charlotte,NC,28202,41,LIHTC,ORCHARD PARK APTS,340,3883,35.23516452,-80.84947372,,,,,,
7814211,225 N CLARKSON STREET,Charlotte,NC,28202,31,CHA-HDP,VICTORIA SQUARE,340,3883,35.23572564,-80.85015972,,,,,,
8002201,426 N. TRYON STREET,CHARLOTTE,NC,28202,,CHA-HDP,HALL HOUSE,341,1897,35.22989628,-80.83865983,,,,,,
8005601,321 N. DAVIDSON STREET,Charlotte,NC,28202,68,CHA-HDP,AUTUMN PLACE,341,1897,35.22545281,-80.83538458,,,,,,
8006501,550 E. 8TH STREET,Charlotte,NC,28202,68,LIHTC,FIRST WARD PLACE II,341,1897,35.22627109,-80.83434135,,,,,,
8103401,940 BREVARD STREET,Charlotte,NC,28206,100,LIHTC,940 BREVARD,341,1897,35.2314269,-80.82978515,,,,,,
12301101,1001 MOREHEAD SQUARE DRIVE,Charlotte,NC,,120,HTF,Steele Creek Seniors,342,426,35.21994254,-80.85055137,,,,,,
3515612,8223 LARKHAVEN ROAD,CHARLOTTE,NC,28216,6,HUD,RSS LARKHAVEN ROAD GROUP HOME,345,379,35.30020115,-80.92652394,,,,,,
7107122,315 KATONAH AVENUE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,347,348,35.24047589,-80.86313728,,,,,,
7107129,330 S. BRUNS AVENUE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,347,348,35.24009304,-80.86372812,,,,,,
7107131,322 S. BRUNS AVENUE,Charlotte,NC,,1,CMHP-SS,Scattered Sites - 6 units,347,348,35.24017538,-80.86337828,,,,,,
7107137,1707 SUMTER AVENUE,Charlotte,NC,28208,47,LIHTC,SEVERSVILLE APARTMENTS,347,348,35.24060679,-80.86213201,,,,,,
21129131,7108 SWANS RUN ROAD,CHARLOTTE,NC,28226,25,HUD,RSS SCATTERED HOMES,351,447,35.10950312,-80.79158351,,,,,,
21129131,7108 SWANS RUN ROAD,CHARLOTTE,NC,28226,18,HUD,RSS SCATTERED HOMES,351,447,35.10950312,-80.79158351,,,,,,
21129131,7108 SWANS RUN ROAD,CHARLOTTE,NC,28226,10,HUD,RSS SCATTERED HOMES,351,447,35.10950312,-80.79158351,,,,,,
21154107,3412 HILLSDALE WAY,Charlotte,NC,,49,CMHP,Brighton Place,351,447,35.10497795,-80.79317959,,,,,,
14913365,3420 PARK ROAD,Charlotte,NC,28209,10,CHA-HDP,YWCA FAMILIES TOGETHER,357,1446,35.18356188,-80.85435462,,,,,,
14920617,1315 E. WOODLAWN ROAD,Charlotte,NC,28209,104,CHA-HDP,WOODLAWN HOUSE,357,1446,35.17265517,-80.85394582,,,,,,
14520105,1210 PRESSLEY ROAD,Charlotte,NC,28217,504,LIHTC,PRESSLEY RIDGE,362,1299,35.19345135,-80.89502114,,,,,,
7708517,833 HOLLAND AVENUE,Charlotte,NC,,10,HTF,Druid Hills Rental,363,1199,35.25925888,-80.83058155,,,,,,
7904402,1145 KOHLER AVENUE,Charlotte,NC,28206,72,LIHTC,THE GABLES AT DRUID HILLS,363,1199,35.25074174,-80.83552582,,,,,,
7904402,2108 STATESVILLE AVENUE,Charlotte,NC,28206,63,LIHTC,GABLES AT DRUID HILLS,363,1199,35.25057574,-80.83558169,,,,,,
7906101,2436 LUCENA STREET,Charlotte,NC,,35,HTF,Moore Place Expansion,363,1199,35.25235549,-80.82781087,,,,,,
7906201,2416 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25264522,-80.82887502,,,,,,
7906201,2418 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25260681,-80.8288708,,,,,,
7906202,2412 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25255828,-80.82899031,,,,,,
7906202,2414 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.2524663,-80.82889445,,,,,,
7906203,2408 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.2524365,-80.82904788,,,,,,
7906203,2410 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.2523526,-80.82896224,,,,,,
7906204,2404 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25229213,-80.82914515,,,,,,
7906204,2406 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25222751,-80.82905659,,,,,,
7906205,2400 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25218596,-80.82926002,,,,,,
7906205,2402 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.2521302,-80.82913146,,,,,,
7906207,929 MORETZ AVENUE,Charlotte,NC,28206,120,CHA-HDP,MOORE PLACE,363,1199,35.25327706,-80.8281622,,,,,,
7906207,2435 LUCENA STREET,Charlotte,NC,,85,HTF,Moore Place,363,1199,35.25277076,-80.82802353,,,,,,
7906305,2420 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25320413,-80.82971507,,,,,,
7906305,2422 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25325038,-80.82974626,,,,,,
7906306,2416 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25306815,-80.82980247,,,,,,
7906306,2418 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25312768,-80.82986411,,,,,,
7906310,2411 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.2527145,-80.82938245,,,,,,
7906310,2415 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25278501,-80.82944434,,,,,,
7906311,2417 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25283115,-80.82930131,,,,,,
7906311,2419 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.2529128,-80.8293534,,,,,,
7906312,2421 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25297756,-80.829251,,,,,,
7906312,2423 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25303204,-80.82928238,,,,,,
7906313,2425 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25306973,-80.82915257,,,,,,
7906313,2427 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25315144,-80.8292013,,,,,,
7906314,2429 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25320821,-80.82908197,,,,,,
7906314,2431 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.2532544,-80.82911651,,,,,,
7906315,2433 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25332765,-80.82899755,,,,,,
7906315,2435 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25336545,-80.82904195,,,,,,
7906316,2437 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25340359,-80.82888199,,,,,,
7906316,2439 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25347935,-80.82896075,,,,,,
7906317,2441 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25355006,-80.82882833,,,,,,
7906317,2443 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25361803,-80.82887676,,,,,,
7906318,1009 MORETZ AVENUE,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25377946,-80.82892394,,,,,,
7906318,1011 MORETZ AVENUE,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25386268,-80.8288722,,,,,,
7906318,2445 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25369647,-80.82877801,,,,,,
7906318,2447 OLANDO STREET,Charlotte,NC,,1,CMHP-SS,Olando Street - 20 units,363,1199,35.25362901,-80.82869609,,,,,,
7906418,2401 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25291421,-80.83071362,,,,,,
7906418,2401 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,Druid Hills Rentals - 10 units,363,1199,35.25291421,-80.83071362,,,,,,
7906419,2405 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25297963,-80.83056768,,,,,,
7906419,2407 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25303117,-80.83061239,,,,,,
7906419,2407 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase II - 4 units",363,1199,35.25303117,-80.83061239,,,,,,
7906420,2409 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25313138,-80.83052755,,,,,,
7906420,2409 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase II - 4 units",363,1199,35.25313138,-80.83052755,,,,,,
7906420,2411 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase I - 8 units",363,1199,35.25311087,-80.83042993,,,,,,
7906420,2411 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase II - 4 units",363,1199,35.25311087,-80.83042993,,,,,,
7906582,1017 FRANKLIN AVENUE,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25233678,-80.83037232,,,,,,
7906582,1019 FRANKLIN AVENUE,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25229527,-80.83039149,,,,,,
7906583,1021 FRANKLIN AVENUE,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25241793,-80.8304579,,,,,,
7906583,1023 FRANKLIN AVENUE,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.2523695,-80.83057072,,,,,,
7906584,2304 RACHEL STREET,Charlotte,NC,,1,CMHP-SS,"Rachel Street, Phase II - 4 units",363,1199,35.25219103,-80.83056,,,,,,
7906587,1013 FRANKLIN AVENUE,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25225934,-80.83022317,,,,,,
7906587,1015 FRANKLIN AVENUE,Charlotte,NC,,1,CMHP-SS,Franklin Avenue Rentals - 8 units,363,1199,35.25231418,-80.8302311,,,,,,
15702101,3424 OAK ARBOR LANE,Charlotte,NC,28205,50,HUD,GRIER PARK APARTMENTS,370,1219,35.19861924,-80.80567612,,,,,,
15705124,820 VILLA COURT,Charlotte,NC,28211,36,HUD,VILLA COURT APARTMENTS,370,1219,35.19392486,-80.79833755,,,,,,
15705128,3449 MARVIN ROAD,Charlotte,NC,28211,168,LIHTC,RANDOLPH HILLS,370,1219,35.19518991,-80.79993895,,,,,,
15711201,920 N. WENDOVER ROAD,Charlotte,NC,28211,213,CHA-HDP,HAMPTON CRESTE,370,1219,35.19184862,-80.79547298,,,,,,
18718145,5026 LANSING DRIVE,CHARLOTTE,NC,28270,6,HUD,TAYLOR HOMES,373,1109,35.14658936,-80.77520431,,,,,,
7503801,2120 LASALLE STREET,Charlotte,NC,28216,60,LIHTC,LINCOLN HEIGHTS APTS,374,1137,35.26365885,-80.85241962,,,,,,
3137615,308 MT. HOLLY HUNTERSVILLE ROAD,Charlotte,NC,28214,62,LIHTC,CATAWBA SENIOR HOUSING,376,1515,35.30202286,-80.98523604,,,,,,
14710170,3124 LEASIDE LANE,Charlotte,NC,28209,49,CHA-HDP,SAVANNA WOODS,381,2017,35.18750886,-80.8568212,,,,,,
14710172,1147 MARSH ROAD,Charlotte,NC,28209,92,CHA-HDP,THE LANDING AT PARK ROAD,381,2017,35.18731479,-80.85388768,,,,,,
6901802,217 A-H BACON STREET,Charlotte,NC,28288,9,LIHTC,WINMAN PARK,382,914,35.24465271,-80.86276454,,,,,,
6903937,325 MATTOON STREET,Charlotte,NC,,33,CMHP,West Downs,382,914,35.2497075,-80.85863157,,,,,,
7818401,201 FRAZIER AVENUE,Charlotte,NC,28216,50,CHA-HDP,TARLTON HILLS,382,914,35.23846835,-80.85732996,,,,,,
17316287,1428 AXMINSTER COURT,Charlotte,NC,28210,35,CHA-HDP,MALLARD RIDGE,383,1591,35.13461986,-80.87340085,,,,,,
6301217,318 CROMER STREET,Charlotte,NC,28216,1,LIHTC,318 CROMER STREET,385,1977,35.26026805,-80.88584457,,,,,,
6305203,3950 FREEDOM DRIVE,CHARLOTTE,NC,28208,8,HUD,CAC OF METROLINA #3,385,1977,35.25298342,-80.90160298,,,,,,
6305342,1234 SARATOGA AVENUE,Charlotte,NC,28203,20,LIHTC,SARATOGA PARK APTS,385,1977,35.25576703,-80.89952041,,,,,,
8304809,2120 N. DAVIDSON STREET,Charlotte,NC,28205,92,CHA-HDP,MCCREESH PLACE,386,828,35.23899644,-80.81547809,,,,,,
8309703,1920 PEGRAM STREET,Charlotte,NC,28206,5,LIHTC,PEGRAM PARK APTS,386,828,35.23560282,-80.81307453,,,,,,
6102910,2457 MIDLAND AVENUE,Charlotte,NC,28208,60,HUD,MIDLAND COMMONS,387,940,35.22767766,-80.90339009,,,,,,
6107164,4350 DENVER AVENUE,Charlotte,NC,28208,10,HUD,CAC OF METROLINA #5,387,940,35.2294348,-80.91012306,,,,,,
10109134,4703 N. SHARON AMITY ROAD,Charlotte,NC,28205,39,HUD,SHARON MANOR HOMES,389,3566,35.2232861,-80.75074061,,,,,,
10111C99,2501 KILBORNE DRIVE,CHARLOTTE,NC,28205,4,HUD,RSS SCATTERED SITE CONDOS,389,3566,35.22224036,-80.77066426,,,,,,
16110107,5300 KELLY STREET,CHARLOTTE,NC,28205,5,HUD,AS MECKLENBURG CO. G.H. #4,390,786,35.18682486,-80.77594693,,,,,,
16110720,2008 SUMMEY AVENUE,Charlotte,NC,28205,5,HUD,ARC MECKLENBURG APARTMENTS,390,786,35.18884658,-80.77451138,,,,,,
17512101,1509 SENECA PLACE,Charlotte,NC,28209,49,CHA-HDP,SENECA WOODS,393,2661,35.16474295,-80.84839789,,,,,,
15711105,3419 CRAIG AVENUE,Charlotte,NC,28211,10,CHA-HDP,EVERETT HOUSE,394,1439,35.19246646,-80.79087345,,,,,,
528209,19315 MERIDIAN STREET,CORNELIUS,NC,28031,30,HUD,CORNELIUS VILLAGE APARTMENTS,404,852,35.47658856,-80.864581,,,,,,
22110115,12920 DORMAN ROAD,Pineville,NC,28134,99,LIHTC,THE DORCHESTER,430,1647,35.06912999,-80.88347654,,,,,,
22150105,12600 WINDY PINES WAY,Pineville,NC,28134,199,LIHTC,THE PINES AT CAROLINA PLACE,430,1647,35.06964243,-80.88075067,,,,,,
1905313,300 HUNTERSVILLE CONCORD ROAD,Huntersville,NC,28078,40,HUD,WHITE HILL APARTMENTS,437,1413,35.41078375,-80.83995317,,,,,,
751134,20215 HEIGHTS WAY,Cornelius,NC,28031,94,LIHTC,ANTIQUITY HEIGHTS,438,1106,35.47951262,-80.85272834,,,,,,
1712158,350 COMMERCE CENTRE DRIVE,Huntersville,NC,28078,106,LIHTC,PARKVIEW APTS,463,1077,35.4142273,-80.85310954,,,,,,
1713413,14908 STATESVILLE ROAD,Huntersville,NC,28078,40,LIHTC,DEER HILL II,463,1077,35.418993,-80.85684388,,,,,,
1713447,14029 STUMPTOWN ROAD,Huntersville,NC,28078,8,HUD,WESTERN NORTH CAROLINA COMM. APTS. #1,463,1077,35.42348974,-80.85444884,,,,,,
323318,328 JETTON STREET,Davidson,NC,28036,32,LIHTC,THE BUNGALOWS,473,1049,35.49860358,-80.85718646,,,,,,
